amfi_code,VaR_95,CVaR_95
100016,-0.014366543749404565,-0.01806020763217176
100025,-0.0037937762557296805,-0.004993763020560281
100033,-0.019038228446358985,-0.023455762770703794
101206,-0.013283621425471914,-0.017439425687129195
101207,-0.026022618531446374,-0.03245905898704435
101208,-0.00026894202152104584,-0.0004220820655857685
102885,-0.012614201669578518,-0.01549040525311211
102886,-0.01922651323388482,-0.023250860269221213
102887,-0.015234483790634546,-0.019411182679158694
118632,-0.013955232853443378,-0.017618579320162156
118633,-0.013366348972111136,-0.016608468307426336
118634,-0.025447737888066722,-0.032304072697818535
118635,-0.012557015205072774,-0.01617696049480912
118636,-0.0038052670952595903,-0.004918918420478294
119092,-0.013758888339614162,-0.017327870956436054
119093,-0.014227695260262702,-0.01748670974901306
119094,-0.01848544268537313,-0.02426005947837057
119095,-0.026199069705541284,-0.03166729360598028
119120,-0.00394000465512791,-0.005013693153022244
119551,-0.012847245508506471,-0.01639680693408763
119552,-0.013476022226627004,-0.017252599178077078
119598,-0.024507694373821016,-0.03059526410880242
119599,-0.026863417469974633,-0.03238412245049217
120503,-0.013551245187620797,-0.01745055416552432
120504,-0.013730772254493234,-0.017494143685606606
120505,-0.01874921857747064,-0.024324013218881297
120506,-0.01439031295163068,-0.01940489860249691
120507,-0.00022160859716556237,-0.00037258039979649643
120841,-0.01314198653338014,-0.01636273661834337
120842,-0.018222215482128858,-0.02272497526268088
120843,-0.014509593714822211,-0.018381077688017156
120844,-0.0002851084739381726,-0.00041099591933232505
125497,-0.014592617868178781,-0.018309885328057912
125498,-0.01836911993648624,-0.02309379305316794
148567,-0.013560130837433921,-0.017622879905822203
148568,-0.014715386657233464,-0.01876476958423089
148569,-0.017118282435353054,-0.021328305810328105
149322,-0.014474357247747188,-0.018401747612732604
149323,-0.017889510841407875,-0.02260664210042033
149324,-0.023489770700520503,-0.03103625202188441
